--- SHEET: 7. Màn Hình UI-UX ---

Row 1: # | Tên màn hình | Mục đích | Thành phần UI chính | API gọi | DB liên quan | Chức năng | Loading State | Empty State | Error State | Responsive | Animation | Dark Mode
Row 12: 11 | 👤 User Profile | Trang cá nhân | Avatar, info card, badges, activity timeline, settings, portfolio | GET /api/users/me, /gamification/my-badges | users, user_badges, user_points | View/edit profile, view achievements | Profile skeleton | New user → complete profile prompt | Update fail → retry toast | Mobile: tab layout | Badge showcase animation | Có
Row 13: 12 | 🎓 Workshop Page | Danh sách workshop | Event cards, calendar view, filter (type, date, location), map view toggle | GET /api/events | events, event_registrations | Browse, filter, register workshops | Card grid skeleton | No events → suggest creating | Load fail → retry | Mobile: list view, swipeable cards | Card hover, calendar transition | Có
Row 14: 13 | 📋 Workshop Detail | Chi tiết workshop | Banner, info section, schedule, speaker cards, register button, related events, map location | GET /api/events/:id | events, event_registrations | View details, register, add to calendar | Content skeleton | N/A | 404 → explore other events | Mobile: sticky register button | Register confetti, countdown timer | Có
Row 15: 14 | 🧑‍🏫 Mentor Page | Tìm mentor | Mentor cards, filter (specialty, rating), search, availability calendar | GET /api/mentoring/mentors | mentors, bookings | Browse, filter, book mentor | Card skeleton | No mentors → become a mentor CTA | Search fail → retry | Mobile: list view | Card hover, calendar slide | Có
Row 16: 15 | 💬 Community Page | Cộng đồng | Feed, group list, post composer, comment threads, trending tags | GET /api/community/posts, /groups | posts, comments, groups | Browse feed, post, comment, join groups | Feed skeleton | Empty feed → explore groups | Post fail → save draft | Mobile: tab (feed/groups/trending) | Post slide-in, like animation | Có
Row 17: 16 | 💝 Donate Page | Quyên góp | Campaign cards, progress bars, donate form, impact counter, transparency report | GET /api/donations/campaigns | donations, donation_campaigns | Browse campaigns, donate, track impact | Cards skeleton | No campaigns → volunteer CTA | Payment fail → retry | Mobile: stack layout | Progress bar fill, impact counter | Có
Row 18: 17 | 📡 Wifi Map | Bản đồ wifi | Map with wifi markers, speed indicator, filter (free/paid), add location | GET /api/wifi/locations | wifi_locations | Find wifi, report new, review | Map skeleton | No wifi nearby → expand area | Map fail → list fallback | Mobile: bottom sheet | Marker pulse, speed indicator | Có
Row 19: 18 | 🔬 STEM Lab Page | Phòng lab STEM | Lab cards, map view, equipment list, booking calendar | GET /api/stem/labs | stem_labs | Browse labs, view equipment, book | Cards skeleton | No labs → suggest partner | Load fail → retry | Mobile: list + map toggle | Card hover, map fly-to | Có
Row 20: 19 | 🛡️ Admin Dashboard | Quản trị hệ thống | Stats overview, user management, content moderation queue, system health, logs | GET /api/admin/dashboard, /users, /content/pending | audit_logs, users, all tables | Manage users, moderate content, view analytics | Dashboard skeleton | No pending items → all clear | System error → status page | Desktop only (sidebar layout) | Chart animation, alert pulse | Có
Row 21: 20 | 🔔 Notification Center | Trung tâm thông báo | Notification list, filter (type, read/unread), mark all read, settings | GET /api/notifications | notifications | View, mark read, configure preferences | List skeleton | No notifications → all caught up | Load fail → retry | Mobile: full-screen list | Slide-in, read fade | Có
Row 22: 21 | 📈 Career Roadmap | Lộ trình nghề nghiệp | Career path visualization, skill radar, quiz, mentor suggestions, resources | GET /api/careers/paths, /api/ai/career-quiz | career_paths, user_profiles | Take quiz, view roadmap, find mentor | Path skeleton | No result → take quiz first | Quiz fail → retry | Mobile: vertical roadmap | Path draw animation, skill radar spin | Có
Row 23: 22 | 📋 Survey Page | Khảo sát | Survey list, form builder (admin), response form, results charts | GET /api/surveys | surveys, survey_responses | Take/create surveys, view results | Form skeleton | No surveys → check back later | Submit fail → save locally | Mobile: full-width form | Progress bar, submit animation | Có
Row 24: 23 | 🎒 Scholarship Map | Bản đồ học bổng | Map + scholarship cards, filter (field, amount, deadline), detail modal | GET /api/opportunities?type=scholarship | opportunities | Browse, filter, view details, apply | Map + cards skeleton | No scholarships → expand filters | Load fail → list fallback | Mobile: cards + map toggle | Marker cluster, card slide | Có
