--- SHEET: 9. Kiến Trúc Hệ Thống ---

Row 1: # | Thành phần | Mô tả | Công nghệ | Vì sao dùng | Ưu điểm | Nhược điểm | Module phù hợp | Scalability | Security | Cost
Row 12: 11 | Auth Service | Authentication & authorization | Firebase Auth + JWT + Passport | OAuth providers, phone auth, email verification | Easy OAuth, mobile SDK, free tier | Vendor lock-in | Auth module | Firebase auto-scale | MFA, token rotation | Free up to 50K MAU
Row 13: 12 | Notification | Push & email notifications | Firebase FCM + SendGrid + WebSocket | Multi-channel push, reliable email, realtime | Cross-platform push, templates | Cost at scale | Notifications module | FCM auto-scale | Encrypted, rate limit | FCM free, SendGrid $15/month
Row 14: 13 | Vector Database | AI embeddings storage | ChromaDB / Pinecone | Similarity search cho RAG, recommendation | Fast similarity search, managed | Additional infra | AI RAG, recommendations, smart search | Horizontal (Pinecone) | API key, namespace isolation | ChromaDB free, Pinecone $70/month
Row 15: 14 | Message Queue | Async job processing | RabbitMQ / BullMQ | Reliable message delivery, job scheduling, retry logic | Reliable, DLQ, scheduling | Additional complexity | Email, notification, AI batch, data pipeline | Clustering | TLS, auth | $0-15/month
Row 16: 15 | Realtime | WebSocket connections | Socket.IO + Redis adapter | Bidirectional communication, room support, fallback | Easy API, rooms, namespaces, auto-reconnect | Memory per connection | Chat, notifications, community feed, live events | Redis adapter for multi-node | JWT auth per connection | Included in backend cost
Row 17: 16 | CI/CD | Continuous integration/deployment | GitHub Actions + Docker | Native GitHub integration, Docker workflows, free for public | Free, extensive marketplace | Minutes limit private repos | All deployment | Parallel jobs | Secrets management | Free public, $4/user private
Row 18: 17 | Container Runtime | Application containerization | Docker + Docker Compose | Consistent environments, easy deployment, isolation | Portable, reproducible | Learning curve, overhead | All services | Kubernetes orchestration | Image scanning, non-root | Free (open source)
Row 19: 18 | Orchestration | Container orchestration | Kubernetes (K3s/EKS) | Auto-scaling, self-healing, service discovery | Auto-scale, resilient, declarative | Complex setup, learning curve | Production deployment | Horizontal pod autoscaler | RBAC, network policies, secrets | K3s free, EKS $72/month
Row 20: 19 | Monitoring | System monitoring | Prometheus + Grafana | Metrics collection, alerting, beautiful dashboards | Open source, extensible, alerts | Storage for metrics | All services | Federation | Auth, RBAC | Free (self-hosted)
Row 21: 20 | Logging | Centralized logging | ELK Stack (Elasticsearch, Logstash, Kibana) | Log aggregation, search, visualization | Powerful search, visualization | Resource intensive | All services, audit | Index lifecycle | Access control | $30-100/month
Row 22: 21 | CDN | Content delivery network | Cloudflare / AWS CloudFront | Global edge caching, DDoS protection, SSL | Fast delivery, DDoS protection, free SSL | Cache invalidation complexity | Static assets, API caching | Global edge network | WAF, DDoS, bot protection | Free tier, Pro $20/month
Row 23: 22 | API Gateway | API routing & management | Nginx / Kong | Load balancing, rate limiting, SSL termination | High performance, flexible | Config complexity | All API traffic | Horizontal | Rate limit, WAF, SSL | Free (Nginx)
