--- SHEET: 3. Chi Tiết Chức Năng ---

Row 1: # | Module | Tên chức năng | Mô tả chi tiết | Ai sử dụng | Quy trình hoạt động | Input | Output | Logic xử lý | API liên quan | DB liên quan | Frontend xử lý | Backend xử lý | AI xử lý | Notification | Role | Priority | Độ khó | Realtime? | Offline? | Cache? | AI Rec? | Map? | Analytics? | Security | Validation | Error Handling
Row 12: 11 | MOD-LIB | Offline sync tài liệu | Tải tài liệu để đọc offline, hỗ trợ mạng yếu | Student | 1.Bookmark→2.Download→3.Store locally→4.Read offline→5.Sync khi online | Material IDs to download | Local cached materials | Service Worker cache→IndexedDB storage→Background sync | GET /api/library/materials/:id/download | learning_materials, user_downloads | PWA offline indicator, download manager, offline reader | Serve file with range support, track downloads | Không | Download complete notification | 🎓 Student | 🟠 High | ⭐⭐⭐⭐ | Không | Có | Có (local) | Không | Không | Có | Encrypted local storage | Max 50 offline items, valid material ID | Storage full→alert user, sync fail→retry
Row 13: 12 | MOD-WS | Tạo workshop/sự kiện | Tạo và quản lý workshop, seminar, hackathon, coding camp | Teacher, School, University, Admin | 1.Chọn loại→2.Điền info→3.Set location→4.Upload banner→5.Publish | Event details, location, schedule, capacity, banner | Event page, registration form, map pin | Validate→Save→Geocode address→Create map point→Publish→Index | POST /api/events, PUT /api/events/:id | events, event_categories, event_locations | Event creation wizard, rich text editor, map picker, date picker | Validation, geocoding, notification scheduling | Auto-suggest tags, detect similar events | Notify followers in area | 👩‍🏫 Teacher, 🏫 School, ⚙️ Admin | 🟠 High | ⭐⭐⭐ | Không | Không | Không | Có | Có | Có | Auth, ownership validation | Required fields, future date, valid capacity | Geocode fail→manual pin
Row 14: 13 | MOD-WS | Đăng ký workshop | Đăng ký tham gia workshop, nhận ticket, reminder | Student, Teacher | 1.View event→2.Register→3.Confirm email→4.Get ticket→5.Reminder→6.Check-in→7.Feedback | User info, event ID | Ticket QR code, calendar event, reminders | Check capacity→Reserve slot→Send confirmation→Schedule reminders→Generate QR | POST /api/events/:id/register | event_registrations, tickets | Register button, ticket view, QR code, add-to-calendar | Capacity management, QR generation, email sending | Recommend related events | Confirmation, reminder 1d before, 1h before | 🎓 Student, 👩‍🏫 Teacher | 🟠 High | ⭐⭐⭐ | Không | Có (ticket) | Có | Có | Không | Có | Auth required, prevent double register | Valid event, not past deadline, not full | Full→waitlist, payment fail→retry
Row 15: 14 | MOD-GAME | Hệ thống huy hiệu | Cấp huy hiệu khi hoàn thành nhiệm vụ: học, tình nguyện, mentor | Tất cả | 1.Complete action→2.Check badge rules→3.Award badge→4.Notify→5.Display | User actions, badge rules | Badge earned notification, profile update | Event-driven: action triggers→check rules engine→award if match→update points | POST /api/gamification/check-badge, GET /api/gamification/badges | badges, user_badges, badge_rules, points | Badge collection UI, notification popup, profile badge shelf | Rules engine, event processing, anti-cheat | Không | Badge earned notification | Tất cả | 🟠 High | ⭐⭐⭐ | Có | Không | Có | Không | Không | Có | Anti-cheat validation | Valid action, no duplicate award | Rule check fail→log and skip
Row 16: 15 | MOD-GAME | Bảng xếp hạng | Leaderboard điểm cộng đồng: tuần, tháng, all-time | Tất cả | 1.Accumulate points→2.Rank→3.Display leaderboard→4.Award top users | Time range, category | Ranked list with scores, user info | Redis sorted set→Aggregate points→Rank→Paginate | GET /api/gamification/leaderboard?period=&category= | user_points, leaderboard_cache | Leaderboard table, rank cards, animations, filter tabs | Redis sorted sets, periodic recalculation | Không | Weekly top notification | Tất cả | 🟡 Medium | ⭐⭐⭐ | Có | Không | Có (5min Redis) | Không | Không | Có | Anti-manipulation | Valid period, valid category | Cache miss→recalculate
Row 17: 16 | MOD-OPP | Hiển thị cơ hội trên map | Hiển thị học bổng, cuộc thi, internship, workshop trên bản đồ | Student | 1.Load map→2.Filter opportunities→3.Cluster→4.Click marker→5.View detail | Filters: type, field, region, deadline | Map with opportunity markers + detail popup | Geo-query opportunities→Filter→Cluster→Render markers | GET /api/opportunities?type=&field=&bounds= | opportunities, opportunity_categories | Opportunity markers (color-coded by type), filter panel, detail modal | PostGIS geo-query, filter, paginate | Recommend based on profile | Deadline approaching notification | 🎓 Student | 🟠 High | ⭐⭐⭐⭐ | Không | Không | Có (15min) | Có | Có | Có | Public + auth for apply | Valid bounds, valid filter values | No opportunities→expand area
Row 18: 17 | MOD-GREEN | Challenge sống xanh | Tạo và tham gia thử thách môi trường: giảm giấy, trồng cây, tái chế | Student, School | 1.Browse challenges→2.Join→3.Log activities→4.Upload proof→5.Earn points→6.Leaderboard | Challenge ID, activity proof (photo) | Points, badges, leaderboard position | Join challenge→Log daily→Upload proof→Verify→Award points→Update leaderboard | POST /api/green/challenges/:id/join, POST /api/green/activities | green_challenges, green_activities, green_leaderboard | Challenge cards, activity log, photo upload, progress bar | Activity tracking, proof verification, leaderboard update | Auto-verify photos (image classification) | Daily reminder, milestone achieved | 🎓 Student | 🟡 Medium | ⭐⭐⭐ | Không | Không | Không | Không | Có (map activities) | Có | Auth, proof validation | Valid proof image, daily limit | Verify fail→manual review
Row 19: 18 | MOD-COMMUNITY | Đăng bài & thảo luận | Tạo bài đăng, bình luận, like, share trong cộng đồng học tập | Student, Teacher, Mentor | 1.Chọn group→2.Viết bài→3.Attach media→4.Post→5.Others interact | Text, images, tags, group ID | Post visible in group feed | Validate content→Save→Notify group members→Index for search→Update feed | POST /api/community/posts, POST /api/community/posts/:id/comments | posts, comments, likes, post_media | Rich text editor, image upload, comment thread, like/share buttons | Content moderation, notification fanout, feed generation | AI content moderation, auto-tag, spam detection | New comment/like notification | 🎓 Student, 👩‍🏫 Teacher, 🧑‍🏫 Mentor | 🟠 High | ⭐⭐⭐ | Có (new posts) | Không | Có (feed) | Không | Không | Có | Content moderation, XSS prevention | Non-empty content, max 5000 chars, valid media | Spam detected→hold for review
Row 20: 19 | MOD-MENTOR | Đặt lịch mentor | Đặt lịch tư vấn với mentor, video call, đánh giá | Student | 1.Browse mentors→2.View profile→3.Book slot→4.Confirm→5.Video call→6.Feedback | Mentor ID, time slot, topic | Booking confirmation, calendar invite, video link | Check availability→Reserve slot→Notify mentor→Send calendar→Generate video link | POST /api/mentoring/bookings, GET /api/mentoring/mentors/:id/slots | mentors, mentor_slots, bookings, booking_reviews | Mentor cards, calendar picker, video call UI, feedback form | Slot management, conflict detection, video room creation | AI match mentor-student based on skills & needs | Booking confirmed, reminder 1h before | 🎓 Student, 🧑‍🏫 Mentor | 🟡 Medium | ⭐⭐⭐⭐ | Có (video call) | Không | Không | Có | Không | Có | Auth, rate limit bookings | Valid slot, not conflicting, max 3 active bookings | Mentor unavailable→suggest alternatives
Row 21: 20 | MOD-DONATE | Quyên góp trực tuyến | Quyên góp tiền, sách, thiết bị cho học sinh vùng khó khăn | Sponsor, Volunteer, Business | 1.Chọn campaign→2.Chọn hình thức→3.Donate→4.Confirm→5.Track→6.Report | Amount/items, payment info, campaign ID | Receipt, tracking ID, transparency report | Validate→Process payment→Record→Update campaign progress→Send receipt→Report | POST /api/donations, GET /api/donations/campaigns | donations, donation_campaigns, donation_items | Campaign cards, donation form, progress bar, impact counter | Payment gateway integration, receipt generation, reporting | Recommend campaigns based on interests | Donation confirmed, campaign milestone, impact report | 💎 Sponsor, 🤝 Volunteer, 🏢 Business | 🟡 Medium | ⭐⭐⭐⭐ | Không | Không | Không | Có | Có (map campaigns) | Có | PCI compliance, encryption, audit log | Valid amount min 10K VND, valid payment | Payment fail→retry, refund flow
