--- SHEET: 5. Database Design ---

Row 1: # | Tên bảng | Mục đích | Các field chính | Primary Key | Foreign Keys | Indexes | Constraints | Relationships | Soft Delete | Audit Log | Scaling
Row 18: 17 | user_points | Điểm người dùng | id, user_id, points, action, source_type, source_id, created_at | id (UUID) | user_id→users.id | user_id, created_at | points>0 | N-1: users | Không | Không | Partition by created_at
Row 19: 18 | posts | Bài đăng cộng đồng | id UUID, author_id, group_id, title, content, media_urls[], tags[], like_count, comment_count, status, pinned, search_vector TSVECTOR, created_at, updated_at, deleted_at | id (UUID) | author_id→users.id, group_id→groups.id | author_id, group_id, search_vector (GIN), created_at | content NOT NULL | 1-N: comments, likes; N-1: users, groups | Có | Có | Partition by created_at
Row 20: 19 | comments | Bình luận | id UUID, post_id, author_id, parent_id, content, like_count, created_at, updated_at, deleted_at | id (UUID) | post_id→posts.id, author_id→users.id, parent_id→comments.id | post_id, author_id, parent_id | content NOT NULL, max 2000 chars | N-1: posts, users; self-ref (replies) | Có | Không | Partition by created_at
Row 21: 20 | groups | Nhóm cộng đồng | id UUID, name, description, avatar_url, cover_url, type (study/club/project), member_count, privacy (public/private), owner_id, created_at, deleted_at | id (UUID) | owner_id→users.id | name, type, privacy | name NOT NULL | 1-N: posts, group_members; N-1: users | Có | Có | Không cần
Row 22: 21 | mentors | Thông tin mentor | id UUID, user_id, specialties[], bio, experience_years, rating_avg, total_sessions, hourly_rate, availability_json, is_verified, created_at | id (UUID) | user_id→users.id | user_id (unique), specialties (GIN) | UNIQUE(user_id) | 1-N: mentor_slots, bookings; N-1: users | Không | Có | Không cần
Row 23: 22 | bookings | Đặt lịch mentor | id UUID, mentor_id, student_id, slot_start, slot_end, status (pending/confirmed/completed/cancelled), meeting_url, notes, rating, feedback, created_at | id (UUID) | mentor_id→mentors.id, student_id→users.id | mentor_id, student_id, status, slot_start | no overlap for same mentor | N-1: mentors, users | Không | Có | Partition by slot_start
Row 24: 23 | donations | Quyên góp | id UUID, donor_id, campaign_id, amount, currency, payment_method, payment_status, transaction_id, message, is_anonymous, receipt_url, created_at | id (UUID) | donor_id→users.id, campaign_id→donation_campaigns.id | donor_id, campaign_id, payment_status | amount>0 | N-1: users, donation_campaigns | Không | Có (bắt buộc) | Partition by created_at
Row 25: 24 | donation_campaigns | Chiến dịch quyên góp | id UUID, title, description, goal_amount, current_amount, organizer_id, location POINT, status, start_date, end_date, images[], created_at, updated_at | id (UUID) | organizer_id→users.id | status, location (GIST), organizer_id | goal>0, end>start | 1-N: donations; N-1: users | Có | Có | PostGIS index
Row 26: 25 | volunteer_activities | Hoạt động tình nguyện | id UUID, volunteer_id, campaign_name, description, hours, location POINT, date, proof_urls[], status (pending/verified), verified_by, created_at | id (UUID) | volunteer_id→users.id, verified_by→users.id | volunteer_id, date, status | hours>0, hours<24 | N-1: users | Không | Có | Partition by date
Row 27: 26 | certificates | Chứng nhận | id UUID, user_id, type (workshop/volunteer/course/badge), title, description, issued_at, issuer, verify_code, qr_url, pdf_url, metadata_json, created_at | id (UUID) | user_id→users.id | user_id, verify_code (unique), type | verify_code UNIQUE | N-1: users | Không | Không | Không cần
Row 28: 27 | surveys | Khảo sát | id UUID, title, description, questions_json, created_by, status, response_count, start_date, end_date, target_roles[], created_at | id (UUID) | created_by→users.id | status, created_by | title NOT NULL | 1-N: survey_responses; N-1: users | Có | Có | Không cần
Row 29: 28 | survey_responses | Trả lời khảo sát | id UUID, survey_id, user_id, answers_json, completed_at, created_at | id (UUID) | survey_id→surveys.id, user_id→users.id | survey_id, user_id | UNIQUE(survey_id, user_id) | N-1: surveys, users | Không | Không | Partition by created_at
Row 30: 29 | notifications | Thông báo | id UUID, user_id, type, title, body, data_json, is_read, channel (push/email/in_app), sent_at, read_at, created_at | id (UUID) | user_id→users.id | user_id, is_read, created_at, type | Không | N-1: users | Không | Không | Partition by created_at, TTL 30 days
Row 31: 30 | green_challenges | Thử thách xanh | id UUID, title, description, type (recycle/plant/save), start_date, end_date, points_reward, participant_count, created_by, status, created_at | id (UUID) | created_by→users.id | status, type, start_date | title NOT NULL, end>start | 1-N: green_activities | Có | Có | Không cần
Row 32: 31 | green_activities | Hoạt động xanh | id UUID, user_id, challenge_id, description, proof_url, carbon_saved_kg, points_earned, status, verified_at, created_at | id (UUID) | user_id→users.id, challenge_id→green_challenges.id | user_id, challenge_id, status | carbon_saved>=0 | N-1: users, green_challenges | Không | Không | Partition by created_at
Row 33: 32 | career_paths | Lộ trình nghề nghiệp | id, field, title, description, skills_required[], roadmap_json, salary_range, demand_level, resources[], created_at, updated_at | id (SERIAL) | Không | field, title | title UNIQUE per field | 1-N: career_recommendations | Không | Không | Không cần
Row 34: 33 | wifi_locations | Điểm wifi | id UUID, name, location POINT, address, speed_mbps, is_free, password_hint, provider, rating_avg, verified, reported_by, created_at, updated_at | id (UUID) | reported_by→users.id | location (GIST), is_free, verified | valid coordinates | N-1: users | Có | Không | PostGIS
Row 35: 34 | stem_labs | Phòng lab STEM | id UUID, name, school_id, description, equipment[], location POINT, capacity, booking_available, photos[], contact, created_at, updated_at | id (UUID) | school_id→users.id | location (GIST), school_id, booking_available | name NOT NULL | N-1: users (school) | Có | Có | PostGIS
Row 36: 35 | chat_messages | Tin nhắn chat | id UUID, sender_id, receiver_id, group_id, content, media_url, type (text/image/file), is_read, created_at | id (UUID) | sender_id→users.id, receiver_id→users.id, group_id→groups.id | sender_id, receiver_id, group_id, created_at | content NOT NULL | N-1: users, groups | Không | Không | Partition by created_at, TTL
Row 37: 36 | audit_logs | Nhật ký hoạt động | id UUID, user_id, action, resource, resource_id, old_data JSONB, new_data JSONB, ip_address, user_agent, created_at | id (UUID) | user_id→users.id | user_id, action, resource, created_at | Không | N-1: users | Không (immutable) | N/A | Partition by month, archive after 1 year
Row 38: 37 | education_stats | Thống kê giáo dục | id, region, province, district, metric_type, value, year, source, created_at, updated_at | id (SERIAL) | Không | region, province, metric_type, year | Không | Standalone analytics | Không | Không | Partition by year
Row 39: 38 | user_learning_history | Lịch sử học tập | id UUID, user_id, material_id, action (view/download/complete), progress_pct, time_spent_sec, created_at | id (UUID) | user_id→users.id, material_id→learning_materials.id | user_id, material_id, created_at | progress 0-100 | N-1: users, learning_materials | Không | Không | Partition by created_at
Row 40: 39 | support_tickets | Phiếu hỗ trợ | id UUID, user_id, subject, description, category, priority, status (open/in_progress/resolved/closed), assigned_to, created_at, updated_at, resolved_at | id (UUID) | user_id→users.id, assigned_to→users.id | user_id, status, priority, assigned_to | subject NOT NULL | N-1: users | Không | Có | Partition by created_at
Row 41: 40 | internships | Thực tập | id UUID, company_id, title, description, field, location POINT, salary_range, duration, requirements, benefits, deadline, application_count, status, created_at, updated_at | id (UUID) | company_id→users.id | company_id, field, location (GIST), deadline | title NOT NULL, deadline future | N-1: users (business) | Có | Có | PostGIS + Elasticsearch
